employer,headline,occupation,ai_industry,ai_locations,ai_technology
"Swedbank AB","Program Coordinator",Testledare,Banking,"Sweden,Estonia,Latvia,Lithuania,Norway,Finland,U.S.,South Africa,China,Luxembourg","Lean-Agile practices,SWAP,Program board,Scrum of Scrum,Agile planning,Agile metrics"
"Swedbank AB","Business Analyst with Pricing edge",Affärsarkitekt,Banking,Sweden,"Customer base analysis,Business Analysis,B2C Pricing (and price modelling),Financial analysis,Math/statistics,Data science/analytics,Data search and management,Storytelling, written and verbal communication,Data visualization and reporting"
"Swedbank AB","Agile Product Owner for Test Data and Test environments",Systemansvarig,Banking,"Stockholm, Tallinn, Vilnius and Riga","Agile,Test Manager,Scrum Master,Project Manager,Product Owner"
"Swedbank AB","Software Engineer - Senior Frontend Developer",Frontend-utvecklare,Banking,"Sweden and the Baltic countries","HTML5,Angular,CSS3,Node.js,GIT,Webstorm,Jenkins,Selenium,Protractor"
"Swedbank AB","Agile Product Owner (APO) – Application Server Infrastructure ",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Enterprise Java Platform,Unix/Linux application management,DevOps"
"Swedbank AB","Agile Product Owner (APO) – Integration and Platforms Tools ",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius, Riga","Sterling Integrator,Batch Platform,Message Broker"
"Swedbank AB","Business Analyst REA Calculation",Systemanalytiker/Systemutredare,Banking,Swedbank,"BO ,SPSS ,SQL ,SAS® ,Other analytical software"
"Swedbank AB","Combined Scrum Master & Software Engineer to Fund Distribution",Systemutvecklare/Programmerare,Banking,"Sweden and Lithuania","Agile,Scrum,Software Development,Programming Language"
"Swedbank AB","Architect ",IT-arkitekt/Lösningsarkitekt,Banking,Swedbank,"Java EE,REST,HTML5,Angular JS,Spring,Ajax,JSON,MS SQL,Oracle,Web Services,MQ,Enterprise security"
"Swedbank AB","Business Analyst ",Systemanalytiker/Systemutredare,"Financial Services","Swedbank Försäkring, Sweden","Digitalisation products,Quality assurance,Testing"
"Swedbank AB","Head Architect to Future Lending Process",Affärsarkitekt,Banking,Swedbank,"Business Domain Architecture,System Analysis,Programming,Models, Methods and Tools"
"Swedbank AB","Agile product Owner (APO) for the Cloud & Container teams ",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Container Platform,Cloud Service Providers (Azure and AWS),IaaS offerings"
"Swedbank AB","Agile Product Owner to Mainframe – z/OS Platforms",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","IBM-z platform ,GDPS ,System Automation ,Netview ,RACF"
"Swedbank AB","Scrum master with focus on Customer Experience","Projektledare, IT",Banking,Swedbank,"Project management,Service management,Agile methodologies,SW Development"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,Swedbank,"Developer,Software Engineer,APO"
"Swedbank AB","Software Engineer- Senior Java developer",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius, Riga","Identity Management"
"Swedbank AB","Infrastructure Engineer to Identity Team",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Privileged Access Management (e.g., CyberArk),Authentication & Authorization"
"Swedbank AB","Chief Product Owner to Corporate and Cash Management ",Mjukvaruutvecklare,Banking,Sweden,"Software development,Maintenance,Problem, incident and crisis management"
"Swedbank AB","Agile Product Owner with a passion for HR",Mjukvaruutvecklare,Banking,Sweden,"Communication,Branding,Infrastructure,HR,Legal,Security & Investigation,Strategic Alignment,Public Affairs,Cloud Solutions,Recruitment,Onboarding,Transfer,Offboarding,Salary/Payroll,Time,Training/LMS,Talent,Compensation & Benefits,Business Intelligence,Reporting"
"Swedbank AB","Solution Architect - Mobile and web",IT-arkitekt/Lösningsarkitekt,Banking,Sweden,"Typescript,Javascript,Angular,Jasmine,Selenium,SASS,Webstorm,iOS,Android,Java,REST,Junit,Eclipse,IBM Webshere,Git,BitBucket,Jenkins,Jira,HipChat,Confluence"
"Swedbank AB","Pega Software Engineers to Lending Transformation ",Mjukvaruutvecklare,Banking,Sweden,"Pega,Oracle,Linux,SQL,Core Java,JavaScript"
"Swedbank AB","Software Engineer Java to Swish team",Systemutvecklare/Programmerare,Banking,Swedbank,"Java,Angular,Javascript,Git,Unit Tests,Selenium Tests"
"Swedbank AB","Senior Fullstack Software Engineer- Payments",Mjukvaruutvecklare,Banking,Sweden,"Angular,Node.js,Java EE,GIT,Webstorm,Jenkins,Selenium,Protractor"
"Swedbank AB","Fullstack Software engineer - Payments",Systemutvecklare/Programmerare,Banking,Sweden,"Angular,Node.js,Java EE,GIT,Webstorm,Jenkins,Selenium,Protractor"
"Scania IT","Erfaren Projektledare till Scania IT","Projektledare, IT",Automotive,"Södertälje, Sweden","IT-lösningar,Infrastrukturella IT-projekt,Datacenter,Storage-funktioner,Systemlösningar,Nät- och databasarkitektur"
"Swedbank AB","Software Engineer /Developer to Team Bank Loans ",Mjukvaruutvecklare,Banking,Sweden,"Core Java,JavaScript,JSP,SQL,Angular JS"
"Swedbank AB","Agile Product Owner – Integration and Platforms Tools ",IT-strateg,Banking,"Stockholm, Tallinn, Vilnius, Riga","Sterling Integrator,Batch Platform,Message Broker"
"Swedbank AB","Agile Product Owner  – Application Server Infrastructure ",IT-strateg,Banking,"Stockholm, Tallinn, Vilnius and Riga","Enterprise Java Platform,Unix/Linux application management"
"Swedbank AB","Team Manager to Swedish Domestic Payments, Group Consumer Payments","Projektledare, IT",Banking,"Sundbyberg, Sweden","IT ,Change management ,Agile way of working"
"Swedbank AB","Value Stream Architect for Controlling & Steering ","Civilingenjör, systemutveckling",Banking,Swedbank,"IT architecture ,Business architecture ,Software Engineering and Design ,Business analyst"
"Swedbank AB","Infrastructure engineer to Application Integration",Nätverkstekniker,Banking,"Stockholm, Tallinn, Vilnius and Riga","IBM WebSphere Application Servers,Automation platforms like Jenkins, IBM UrbanCode Deploy, etc.,System Performance analysis,Program and scripting skills in"
"Swedbank AB","Infrastructure engineer for Middleware team, Infrastructure & Operations",Systemansvarig,Banking,"Stockholm, Tallinn, Vilnius, Riga","IBM WebSphere Application Servers,Automation platforms like Jenkins, IBM UrbanCode Deploy,Java,Python,Groovy,Shell Script,Linux,UNIX (Solaris)"
"Swedbank AB","Software Engineer Cobol to Swish team",Systemutvecklare/Programmerare,Banking,Swedbank,"Mainframe,DB2,Cobol,SQL"
"Swedbank AB","Team Manager with a passion for HR","Projektledare, IT",Banking,Sweden,"Communication ,Branding ,Infrastructure ,HR ,Legal ,Security & Investigation ,Strategic Alignment ,Public Affairs ,Cloud Solutions ,Recruitment ,Onboarding ,Transfer ,Offboarding ,Salary/Payroll ,Time ,Training/LMS ,Talent ,Compensation & Benefits ,Business Intelligence ,Reporting ,Change Management ,Agile Way of Working"
"Swedbank AB","Agile Product Owner to Digital Banking",IT-samordnare,Banking,"Sweden and Baltic Countries","Digital Development,Transformation,Innovation,Agile Way of Working"
"Swedbank AB","Software Engineer- Fraud Prevention",Mjukvaruutvecklare,Banking,Sweden,"Java,Agile Methodologies"
"Swedbank AB","Scrum Master with focus on Development","Projektledare, IT",Banking,Swedbank,"Java,Javascript,HTML,XML,Json"
"Swedbank AB","Team Manager for Operational Data Lake ","Projektledare, IT",Banking,"Stockholm, Sweden","ODL,BI/DW,IT development,Maintenance,Operations"
"Swedbank AB","Application Specialist ",Applikationsutvecklare/Apputvecklare,Banking,Sweden,"Microsoft Windows,Linux,Mainframe,TDE,Web services"
"Swedbank AB","Scrum Master to Corporate Banking",Testledare,Banking,"Sweden,Estonia,Latvia,Lithuania,Norway,Finland,U.S.,South Africa,China,Luxembourg","JIRA,Agile Methodologies"
"Swedbank AB","Infrastructure engineer to the Integration Platform and Tools team",Infrastrukturarkitekt,Banking,"Stockholm, Tallinn, Vilnius, Riga","IBM Sterling B2B Integrator,DevOps Expertise (Infrastructure Automation, Application Automation, Continuous Integration),Integration Infrastructure,Java,Shell Scripting,Red Hat Linux"
"Swedbank AB","Software Engineer to Security Centre",Systemutvecklare/Programmerare,Banking,Swedbank,"KMS HSM configuration,Core Linux setup for HSM"
"Swedbank AB","Scrum Master EIS Value stream",Mjukvaruutvecklare,Banking,"Sweden,Estonia,Latvia,Lithuania,Norway,Finland,U.S.,South Africa,China,Luxembourg","Agile methodology,Digitalization,Securities market and transaction technology"
"Swedbank AB","Agile Product Owner  – Application Server Infrastructure ",IT-strateg,Banking,"Stockholm, Tallinn, Vilnius and Riga","Enterprise Java Platform,Unix/Linux application management"
"Swedbank AB","Agile Product Owner ",IT-strateg,Banking,Sweden,"Agile,Mobile App,Internet Bank"
"Swedbank AB","Agile Product Owner for Test Data and Test environments",Systemansvarig,Banking,"Stockholm, Tallinn, Vilnius and Riga","Agile,Test Manager,Scrum Master,Project Manager,Product Owner"
"Swedbank AB","API Engineer/ Expert",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius and Riga","API design,Development and life-cycle management of both public and private APIs,Building integration and delivery pipelines"
"Swedbank AB","Infrastructure engineer- Container platform ",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Container frameworks/Schedulers and Orchestrators (Kubernetes, Docker Swarm etc.),Infrastructure management tools (like Terraform, CloudForms, Puppet, Ansible etc),Enterprise cloud platforms such as AWS and Azure,Scripting languages,Integration patterns,Security"
"Swedbank AB","Cloud Engineer",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius, Riga","System/Infrastructure Engineering,Software Development/Engineering,IT Architecture,Scripting Languages,Integration Patterns,Security,API Development,AWS,Azure"
"Swedbank AB","Scrum master to Integration and Application server teams ","Projektledare, IT",Banking,"Stockholm, Tallinn, Vilnius, Riga","Software development ,Maintenance ,Agile methodologies ,Product backlog management ,Product planning"
"Swedbank AB","Scrum Master ",Systemutvecklare/Programmerare,Banking,Swedbank,"Teradata ,SAS ,Pega ,Microstrategy ,Excel ,SQL"
"Swedbank AB","Software Engineer- Full stack developer to Digital Banking ",Mjukvaruutvecklare,Banking,"None mentioned","Java/J2EE,Web-services,REST,Spring Webflow,ES6,HTML5,AngularJS,Angular (2+),Typescript,CSS3,node.js,GIT,RTC,Gradle,WebSphere Application Server,Eclipse,JUNIT"
"Swedbank AB","Continuous Delivery Coach ","Projektledare, IT","Banking and Fintech","Stockholm, Tallinn, Vilnius and Riga","Continuous Delivery,Test Automation,Test Data,Test Environment"
"Swedbank AB","Architect Digital Banking",Systemarkitekt,Banking,Sweden,"Software development,Models, methods and tools used within architecture work"
"Swedbank AB","Software Engineer - BPM/ Pega platform",Mjukvaruutvecklare,Banking,Sweden,"Java,Pega,Web Services,MQ,HTML,JavaScript,Websphere"
"Swedbank AB","Business controller ",Systemutvecklare/Programmerare,Banking,Sweden,"Customer experience,Innovation,Development,Maintenance of channels and tools,Accounting structures,Cost steering,Forecasting,Business cases,Value realization follow-up,Cost allocation,Ad-hoc analysis,Excel,PowerPoint,Word,Reporting and reconciliation,Agile way of working"
"Swedbank AB","Software Engineer – SAS Developer",Mjukvaruutvecklare,Banking,Swedbank,"SAS Data Integration Studio,SAS Management Console,SAS Enterprise Guide,SAS Model Implementation Platform,SAS Risk and Finance Workbench,SAS Visual Analytics,SAS Risk Dimensions,SAS/Access to Teradata,SAS Enterprise Miner"
"Swedbank AB","Business Analyst to Corporate and Cash Management",Mjukvaruutvecklare,Banking,Stockholm,"Business Service Manager,Requirement specialist,Business developer,System analyst,Product owner,Test Manager/Coordinator,Acceptance tester,Quality Assurance,Application specialist,APO,Program Coordinator"
"Swedbank AB","Software Engineer to Deposit & Cash Management",Mjukvaruutvecklare,Banking,Swedbank,"COBOL ,IMS ,DB2 ,Easytrieve ,SQL ,JCL ,Changeman"
"Swedbank AB","Software Engineer (Mainframe, Cobol or Java) to Liquidity View team",Mjukvaruutvecklare,Banking,"Sweden, Denmark, Norway, Finland","COBOL,Java,IMS,CICS,DB2,J2EE,JUNIT,REST,AngularJS,Linux,WebSphere,SQL,Oracle DB,IBM MQ"
"Swedbank AB","Scrum master ",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Service owner ,Project coordinator ,Product owner"
"Swedbank AB","Software Engineer- Fraud Prevention",Mjukvaruutvecklare,Banking,Sweden,"Java,Agile Methodologies"
"Swedbank AB","Agile Product Owner to the UI App Team",Systemutvecklare/Programmerare,Banking,Sweden,"iOS,Android,UX Design System,Agile"
"Swedbank AB","Infrastructure Engineer –Virtual Infrastructure",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius, Riga","VMware,MS PowerShell scripting,Platform OS (Linux),Storage area,Network (TCP/IP),Service Now"
"Swedbank AB","Architect Digital Banking",Systemarkitekt,Banking,Swedbank,"Software development,Models, methods and tools used within architecture work"
"Swedbank AB","Scrum master to Access Management",Testledare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Software development,Maintenance,Agile methodologies,Product backlog management,SWAP method (Swedbank Agile Process)"
"Swedbank AB","Digital Strategist",Mjukvaruutvecklare,Banking,Sweden,"Digital Development ,Transformation ,Innovation ,Agile ,Customer Centric Development"
"Swedbank AB","Software Engineer – Experienced Front End Developer",Systemutvecklare/Programmerare,Banking,"Umeå or Stockholm","REST,JSON,Design Patterns,Angular,Javascript,SCSS,GIT,Java"
"Swedbank AB","Software Engineer - Frontend developer with full stack ambitions",Systemutvecklare/Programmerare,Banking,Sweden,"ES6 ,HTML5 ,AngularJS ,Angular (2+) ,Typescript ,CSS3 ,Node.js ,NGRX ,GIT ,Webpack ,JAVA ,J2EE ,JUNIT ,REST"
"Swedbank AB","Scrum master with skills in Java development",Mjukvaruutvecklare,Banking,Swedbank,"Java,Javascript,HTML,XML,Json"
"Swedbank AB","Software Engineer to Common Development Tools team",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius, Riga","Jira,Bitbucket,Confluence,HP ALM,Bamboo,Jenkins,Linux Administration,Windows Administration"
"Swedbank AB","Software Engineer with Quality Assurance Focus",Mjukvaruutvecklare,Banking,Sweden,"System testing,Automated tests,Programming in Java or Javascript (Angular.js),Agile ways of working,Continuous integration and continuous delivery (CI/CD)"
"Swedbank AB","Business Analyst with Quality Assurance Focus",Mjukvaruutvecklare,Banking,Sweden,"System testing,Automated tests,Continuous integration and continuous delivery (CI/CD),Programming,Agile ways of working"
"Swedbank AB","DevOps Engineer for Operational Data Lake",Mjukvaruutvecklare,Banking,Swedbank,"Java,Groovy,Python,UNIX shell scripting,Hadoop,DevOps automation,Ansible,Docker,Kubernetes,Automation framework development,GIT"
"Swedbank AB","Business Analyst for Operational Data Lake",Systemanalytiker/Systemutredare,Banking,Swedbank,"Big Data,RDBMS,SQL"
"Swedbank AB","Combined Data Engineer / Ab Initio Developer for Operational Data Lake",Mjukvaruutvecklare,Banking,Sweden,"Java,Python/Scala,Ab Initio PDL,Unix scripting language,Hadoop,NoSQL database (HBase),SQL and RDBMS systems,Real time streaming data (Kafka),DevOps tools (GIT, Jenkins, Artifactory, Dockers, Kubernetes)"
"Swedbank AB","Senior Software Engineer- Payments",Mjukvaruutvecklare,Banking,Swedbank,"Angular,Node.js,Java EE,GIT,Webstorm,Jenkins,Selenium,Protractor"
"Swedbank AB","Software Engineer to Workplace Platform team",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius, Riga","PowerShell,.NET,C#,REST,SOAP,SQL Server,GIT,TFS,Javascript/Angular,Windows,Microsoft Operative Applications,PKI Infrastructure,Modern Management,Macintosh Domain Management Design"
"Swedbank AB","Infrastructure Engineer to Workplace Platforms team",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Windows platform,Microsoft services,PKI infrastructure,Service Now,ITIL,Mac"
"Swedbank AB","Software Engineer JAVA to  Liquidity View team",Mjukvaruutvecklare,Banking,Swedbank,"REST API development,SOA / Web Services,JVM and memory management,J2EE Framework,Object oriented analysis and design,Maven/Ant,JUnit or similar,WebSphere/Tomcat/JBoss,Service design principles,Cloud computing/ AWS"
"Swedbank AB","Infrastructure Engineer – Network Security",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Firewalls (Checkpoint),ADC (F5),IDS/IPS,Routing/Switching"
